Variable,Nationality,Position,GP_17,MP_17,YC_17,RC_17,Goals17,Assists17,Shots17,Shots_On_Target17,Offsides17,Touches17,Passes17,Crosses17,Blocks17,Interceptions17,Tackles17,Clearances17,Jostles_Won17,Jostles_Lost17,Fouls17,Clean_Sheets17,Goals_Allowed17,Saves17,Punches17,High_Claims17,Goal_Kicks17,GP_16,MP_16,YC_16,RC_16,Goals16,Assists16,Shots16,Shots_On_Target16,Offsides16,Touches16,Passes16,Crosses16,Blocks16,Interceptions16,Tackles16,Clearances16,Jostles_Won16,Jostles_Lost16,Fouls16,Clean_Sheets16,Goals_Allowed16,Saves16,Punches16,High_Claims16,Goal_Kicks16,All_GP,All_MP,All_YC,All_RC,AllGoals,AllAssists,AllShots,AllShots_On_Target,AllOffsides,AllTouches,AllPasses,AllCrosses,AllBlocks,AllInterceptions,AllTackles,AllClearances,AllJostles_Won,AllJostles_Lost,AllFouls,AllClean_Sheets,AllGoals_Allowed,AllSaves,AllPunches,AllHigh_Claims,AllGoal_Kicks
Gabriel Jesus, Brazil,F,29,1671,6,0,13,3,56,33,15,860,591,2,0,8,23,6,21,45,28,0,0,0,0,0,0,10,650,2,0,7,4,24,13,9,357,242,2,0,2,5,1,8,14,11,0,0,0,0,0,0,39,2321,8,0,20,7,80,46,24,1217,833,4,0,10,28,7,29,59,39,0,0,0,0,0,0
Gareth Barry, England,M,25,1927,4,0,1,1,16,6,1,1187,927,28,11,14,35,32,32,36,28,0,0,0,0,0,0,33,2112,10,0,2,1,17,7,1,1732,1376,22,22,35,70,57,32,24,48,0,0,0,0,0,0,58,4039,14,0,3,2,33,13,2,2919,2303,50,33,49,105,89,64,60,76,0,0,0,0,0,0
Gareth McAuley, Northern Ireland,D,9,456,0,0,0,0,0,0,0,178,125,1,4,11,8,15,15,10,2,0,0,0,0,0,0,36,3143,5,0,6,1,16,7,0,1265,742,4,31,71,50,227,113,47,27,0,0,0,0,0,0,45,3599,5,0,6,1,16,7,0,1443,867,5,35,82,58,242,128,57,29,0,0,0,0,0,0
Gary Cahill, England,D,27,2084,1,1,0,0,10,3,0,1616,1330,0,14,27,29,123,93,31,17,0,0,0,0,0,0,37,3296,5,0,6,0,24,10,2,2273,1849,1,19,46,53,167,91,56,34,0,0,0,0,0,0,64,5380,6,1,6,0,34,13,2,3889,3179,1,33,73,82,290,184,87,51,0,0,0,0,0,0
Geoff Cameron, United States,D,20,1524,2,0,0,0,5,0,0,833,506,9,8,36,34,61,39,32,16,0,0,0,0,0,0,19,1628,1,0,0,1,11,5,1,1119,787,14,14,32,48,47,55,43,17,0,0,0,0,0,0,39,3152,3,0,0,1,16,5,1,1952,1293,23,22,68,82,108,94,75,33,0,0,0,0,0,0
Georges-Kevin Nkoudou, France,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,49,0,0,0,0,2,1,0,64,30,7,0,0,0,3,0,0,2,0,0,0,0,0,0,8,49,0,0,0,0,2,1,0,64,30,7,0,0,0,3,0,0,2,0,0,0,0,0,0
Georginio Wijnaldum, Netherlands,M,33,2387,1,0,1,2,38,10,4,1593,1266,2,2,25,34,19,16,29,13,0,0,0,0,0,0,36,2975,2,0,6,9,60,20,3,2044,1625,13,2,26,46,32,39,39,22,0,0,0,0,0,0,69,5362,3,0,7,11,98,30,7,3637,2891,15,4,51,80,51,55,68,35,0,0,0,0,0,0
Gerard Deulofeu, Spain,F,7,438,0,0,1,0,8,4,1,246,142,15,0,4,5,2,0,6,3,0,0,0,0,0,0,11,457,1,0,0,0,7,3,10,291,164,37,0,4,6,0,0,4,2,0,0,0,0,0,0,18,895,1,0,1,0,15,7,11,537,306,52,0,8,11,2,0,10,5,0,0,0,0,0,0
Glen Johnson, England,D,9,550,3,0,0,0,2,1,0,313,188,8,2,10,7,22,6,1,6,0,0,0,0,0,0,23,1955,1,0,0,0,8,4,0,1278,740,32,11,38,49,65,22,12,12,0,0,0,0,0,0,32,2505,4,0,0,0,10,5,0,1591,928,40,13,48,56,87,28,13,18,0,0,0,0,0,0
Granit Xhaka, Switzerland,M,38,3266,10,0,1,7,66,17,0,3688,3116,102,9,37,78,64,49,50,57,0,0,0,0,0,0,32,2486,5,2,2,2,34,9,1,2681,2298,26,5,38,77,33,33,25,37,0,0,0,0,0,0,70,5752,15,2,3,9,100,26,1,6369,5414,128,14,75,155,97,82,75,94,0,0,0,0,0,0
Gylfi Sigurdsson, Iceland,M,27,2262,2,0,4,3,39,12,1,1211,700,150,7,34,38,30,19,39,19,0,0,0,0,0,0,38,3328,2,0,9,13,116,50,1,1905,1038,304,3,35,45,23,7,17,18,0,0,0,0,0,0,65,5590,4,0,13,16,155,62,2,3116,1738,454,10,69,83,53,26,56,37,0,0,0,0,0,0
Hal Robson-Kanu, Wales,F,21,822,2,1,2,0,19,8,6,380,184,19,3,4,5,9,24,45,20,0,0,0,0,0,0,29,683,3,0,3,2,16,6,5,324,166,12,0,4,5,8,19,37,28,0,0,0,0,0,0,50,1505,5,1,5,2,35,14,11,704,350,31,3,8,10,17,43,82,48,0,0,0,0,0,0
Harry Arter, Ireland,M,13,961,4,0,1,0,11,1,0,708,586,5,5,9,19,5,6,2,9,0,0,0,0,0,0,35,2959,11,1,1,4,54,11,0,2479,2004,21,13,48,83,31,5,8,34,0,0,0,0,0,0,48,3920,15,1,2,4,65,12,0,3187,2590,26,18,57,102,36,11,10,43,0,0,0,0,0,0
Harry Kane, England,F,37,3083,5,0,30,2,184,76,42,1263,657,20,4,5,17,19,60,78,34,0,0,0,0,0,0,30,2531,3,0,29,7,110,58,17,1116,597,29,0,4,22,21,46,66,23,0,0,0,0,0,0,67,5614,8,0,59,9,294,134,59,2379,1254,49,4,9,39,40,106,144,57,0,0,0,0,0,0
Harry Maguire, England,D,38,3420,7,0,2,4,30,8,4,2315,1740,15,28,48,63,176,119,63,34,0,0,0,0,0,0,29,2307,5,0,2,2,34,10,3,1686,1182,15,27,63,54,141,69,29,24,0,0,0,0,0,0,67,5727,12,0,4,6,64,18,7,4001,2922,30,55,111,117,317,188,92,58,0,0,0,0,0,0
Harry Winks, England,M,16,771,0,0,0,1,3,0,0,761,642,10,2,11,15,8,4,6,8,0,0,0,0,0,0,21,477,1,0,1,1,6,2,0,451,366,7,2,5,10,6,1,4,10,0,0,0,0,0,0,37,1248,1,0,1,2,9,2,0,1212,1008,17,4,16,25,14,5,10,18,0,0,0,0,0,0
Hector Bellerin, Spain,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2499,4,0,1,4,22,5,0,2069,1392,69,7,36,24,46,31,43,20,0,0,0,0,0,0,33,2499,4,0,1,4,22,5,0,2069,1392,69,7,36,24,46,31,43,20,0,0,0,0,0,0
Henrikh Mkhitaryan, Armenia,M,26,1727,2,0,3,9,36,16,4,1407,980,84,2,15,33,5,19,23,23,0,0,0,0,0,0,24,1349,1,0,4,1,33,16,8,1137,775,48,0,22,23,12,10,24,19,0,0,0,0,0,0,50,3076,3,0,7,10,69,32,12,2544,1755,132,2,37,56,17,29,47,42,0,0,0,0,0,0
Heurelho Gomes, Brazil,GK,24,2129,0,0,0,0,0,0,0,890,630,0,0,2,0,39,13,0,1,5,40,61,24,15,179,38,3339,1,0,0,0,0,0,0,1460,1034,0,0,2,0,58,13,0,1,6,64,115,35,52,310,62,5468,1,0,0,0,0,0,0,2350,1664,0,0,4,0,97,26,0,2,11,104,176,59,67,489
Hugo Lloris, France,GK,36,3240,1,0,0,0,0,0,0,1358,996,0,0,2,1,54,9,2,1,15,35,86,20,17,227,34,3005,0,0,0,0,0,0,0,1365,1060,0,0,1,0,32,6,1,0,15,24,78,11,20,213,70,6245,1,0,0,0,0,0,0,2723,2056,0,0,3,1,86,15,3,1,30,59,164,31,37,440
Ibrahim Afellay, Netherlands,M,6,163,1,0,0,0,0,0,0,94,81,0,0,1,3,1,0,0,1,0,0,0,0,0,0,12,377,0,0,0,0,6,1,2,262,189,15,0,4,3,1,1,4,3,0,0,0,0,0,0,18,540,1,0,0,0,6,1,2,356,270,15,0,5,6,2,1,4,4,0,0,0,0,0,0
Idrissa Gueye, Senegal,M,33,2757,6,1,2,1,23,7,1,2103,1566,11,9,62,117,42,33,33,50,0,0,0,0,0,0,33,2685,11,0,1,1,25,6,0,2420,1885,12,9,81,135,39,32,19,51,0,0,0,0,0,0,66,5442,17,1,3,2,48,13,1,4523,3451,23,18,143,252,81,65,52,101,0,0,0,0,0,0
Ilkay Gundogan, Germany,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,709,0,0,3,1,16,4,0,617,505,7,0,9,10,4,2,5,2,0,0,0,0,0,0,10,709,0,0,3,1,16,4,0,617,505,7,0,9,10,4,2,5,2,0,0,0,0,0,0
Islam Slimani, Algeria,F,16,370,1,0,1,1,7,4,4,232,157,7,0,1,2,3,13,27,3,0,0,0,0,0,0,23,1279,1,0,7,4,35,13,11,614,423,3,3,3,12,3,54,79,27,0,0,0,0,0,0,39,1649,2,0,8,5,42,17,15,846,580,10,3,4,14,6,67,106,30,0,0,0,0,0,0
Jack Butland, England,GK,35,3150,0,0,0,0,0,0,0,1516,1169,0,0,1,1,40,8,0,0,6,61,144,14,25,338,5,450,0,0,0,0,0,0,0,195,140,0,0,0,0,3,2,0,0,2,8,17,1,10,40,40,3600,0,0,0,0,0,0,0,1711,1309,0,0,1,1,43,10,0,0,8,69,161,15,35,378
Jack Cork, England,M,38,3420,7,0,2,1,15,5,1,2106,1584,19,15,41,60,81,58,78,23,0,0,0,0,0,0,30,2233,7,0,0,0,18,5,1,1700,1285,20,8,56,59,48,37,49,25,0,0,0,0,0,0,68,5653,14,0,2,1,33,10,2,3806,2869,39,23,97,119,129,95,127,48,0,0,0,0,0,0
Jack Stephens, England,D,22,1979,6,1,2,0,11,4,2,1276,928,9,18,41,29,105,45,34,13,0,0,0,0,0,0,17,1469,1,0,0,1,4,0,1,948,729,4,19,24,22,79,29,39,15,0,0,0,0,0,0,39,3448,7,1,2,1,15,4,3,2224,1657,13,37,65,51,184,74,73,28,0,0,0,0,0,0
