Variable,Nationality,Position,GP_17,MP_17,YC_17,RC_17,Goals17,Assists17,Shots17,Shots_On_Target17,Offsides17,Touches17,Passes17,Crosses17,Blocks17,Interceptions17,Tackles17,Clearances17,Jostles_Won17,Jostles_Lost17,Fouls17,Clean_Sheets17,Goals_Allowed17,Saves17,Punches17,High_Claims17,Goal_Kicks17,GP_16,MP_16,YC_16,RC_16,Goals16,Assists16,Shots16,Shots_On_Target16,Offsides16,Touches16,Passes16,Crosses16,Blocks16,Interceptions16,Tackles16,Clearances16,Jostles_Won16,Jostles_Lost16,Fouls16,Clean_Sheets16,Goals_Allowed16,Saves16,Punches16,High_Claims16,Goal_Kicks16,All_GP,All_MP,All_YC,All_RC,AllGoals,AllAssists,AllShots,AllShots_On_Target,AllOffsides,AllTouches,AllPasses,AllCrosses,AllBlocks,AllInterceptions,AllTackles,AllClearances,AllJostles_Won,AllJostles_Lost,AllFouls,AllClean_Sheets,AllGoals_Allowed,AllSaves,AllPunches,AllHigh_Claims,AllGoal_Kicks
Scott McTominay, Scotland,M,13,629,2,0,0,0,1,0,0,436,343,4,0,13,11,9,12,10,7,0,0,0,0,0,0,2,96,1,0,0,0,1,1,0,70,57,1,1,2,0,3,1,2,2,0,0,0,0,0,0,15,725,3,0,0,0,2,1,0,506,400,5,1,15,11,12,13,12,9,0,0,0,0,0,0
Seamus Coleman, Ireland,D,12,1035,0,0,0,1,5,2,0,681,357,28,12,10,14,23,14,11,3,0,0,0,0,0,0,26,2317,3,0,4,3,18,8,4,1698,920,92,17,29,53,68,20,22,18,0,0,0,0,0,0,38,3352,3,0,4,4,23,10,4,2379,1277,120,29,39,67,91,34,33,21,0,0,0,0,0,0
Sebastian Prodl, Austria,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2771,10,0,1,1,22,7,0,1475,1070,3,32,52,36,183,62,36,44,0,0,0,0,0,0,33,2771,10,0,1,1,22,7,0,1475,1070,3,32,52,36,183,62,36,44,0,0,0,0,0,0
Sergio Aguero, Argentina,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2403,4,1,20,3,139,53,23,1325,771,17,1,3,18,1,7,30,23,0,0,0,0,0,0,31,2403,4,1,20,3,139,53,23,1325,771,17,1,3,18,1,7,30,23,0,0,0,0,0,0
Sergio Romero, Argentina,GK,1,90,0,0,0,0,0,0,0,30,20,0,0,0,0,0,0,0,0,1,0,3,0,1,7,2,180,0,0,0,0,0,0,0,73,46,0,0,0,0,2,0,0,0,2,0,10,1,4,14,3,270,0,0,0,0,0,0,0,103,66,0,0,0,0,2,0,0,0,3,0,13,1,5,21
Shane Long, Ireland,F,30,1578,6,0,2,1,33,13,14,685,395,21,2,12,25,29,77,113,34,0,0,0,0,0,0,32,1248,2,0,3,1,41,15,12,554,306,24,4,5,12,14,45,64,28,0,0,0,0,0,0,62,2826,8,0,5,2,74,28,26,1239,701,45,6,17,37,43,122,177,62,0,0,0,0,0,0
Shinji Okazaki, Japan,F,27,1328,2,0,6,2,28,16,9,632,386,6,1,8,25,5,31,58,20,0,0,0,0,0,0,30,1572,1,0,3,1,29,9,4,726,438,4,2,12,30,5,26,87,28,0,0,0,0,0,0,57,2900,3,0,9,3,57,25,13,1358,824,10,3,20,55,10,57,145,48,0,0,0,0,0,0
Shkodran Mustafi, Germany,D,27,2274,6,0,3,1,13,6,2,2129,1734,12,15,57,64,171,122,74,26,0,0,0,0,0,0,26,2275,11,0,2,2,24,6,1,1963,1564,20,4,62,54,129,103,61,35,0,0,0,0,0,0,53,4549,17,0,5,3,37,12,3,4092,3298,32,19,119,118,300,225,135,61,0,0,0,0,0,0
Simon Francis, England,D,32,2707,8,1,0,1,13,1,1,2294,1606,78,18,49,49,176,142,75,24,0,0,0,0,0,0,34,2940,4,1,0,1,7,0,0,2325,1656,66,19,53,62,219,115,80,27,0,0,0,0,0,0,66,5647,12,2,0,2,20,1,1,4619,3262,144,37,102,111,395,257,155,51,0,0,0,0,0,0
Simon Mignolet, Belgium,GK,19,1710,3,0,0,0,0,0,0,677,498,0,0,0,2,13,4,0,2,7,24,36,8,15,101,28,2520,0,0,0,0,0,0,0,1077,806,0,0,1,0,28,19,1,0,9,30,53,22,31,173,47,4230,3,0,0,0,0,0,0,1754,1304,0,0,1,2,41,23,1,2,16,54,89,30,46,274
Sofiane Boufal, Morocco,M,26,1213,1,0,2,2,30,6,2,932,532,40,1,6,37,6,6,13,27,0,0,0,0,0,0,24,1101,5,0,1,0,25,7,1,917,508,34,1,5,38,3,10,13,25,0,0,0,0,0,0,50,2314,6,0,3,2,55,13,3,1849,1040,74,2,11,75,9,16,26,52,0,0,0,0,0,0
Son Heung-Min, South Korea,F,37,2309,0,0,12,6,75,33,25,1402,916,51,0,10,17,9,3,13,15,0,0,0,0,0,0,34,2068,2,0,14,6,80,33,22,1265,775,62,1,7,19,6,10,23,9,0,0,0,0,0,0,71,4377,2,0,26,12,155,66,47,2667,1691,113,1,17,36,15,13,36,24,0,0,0,0,0,0
Stefano Okaka, Italy,F,15,445,2,0,1,1,10,3,4,257,154,1,0,0,6,0,22,30,21,0,0,0,0,0,0,19,954,5,0,4,0,27,12,11,446,230,5,1,1,12,10,40,53,30,0,0,0,0,0,0,34,1399,7,0,5,1,37,15,15,703,384,6,1,1,18,10,62,83,51,0,0,0,0,0,0
Stephen Ward, Ireland,D,28,2462,1,0,1,1,6,1,3,1627,923,82,12,42,39,102,59,28,11,0,0,0,0,0,0,37,3232,5,0,1,1,7,1,0,2122,1130,111,16,74,70,153,64,57,35,0,0,0,0,0,0,65,5694,6,0,2,2,13,2,3,3749,2053,193,28,116,109,255,123,85,46,0,0,0,0,0,0
Steve Cook, England,D,34,2766,5,0,2,1,22,6,1,1871,1321,6,45,54,37,225,137,68,22,0,0,0,0,0,0,38,3420,5,0,2,0,29,9,0,2426,1716,13,39,76,46,352,145,74,16,0,0,0,0,0,0,72,6186,10,0,4,1,51,15,1,4297,3037,19,84,130,83,577,282,142,38,0,0,0,0,0,0
Steven Davis, Northern Ireland,M,23,1521,0,0,3,0,13,4,3,1279,1044,42,6,15,30,23,14,26,8,0,0,0,0,0,0,32,2644,3,0,0,3,31,6,1,2161,1716,69,11,23,54,45,11,29,18,0,0,0,0,0,0,55,4165,3,0,3,3,44,10,4,3440,2760,111,17,38,84,68,25,55,26,0,0,0,0,0,0
Steven Defour, Belgium,M,24,2008,6,0,1,1,19,7,0,1301,1016,35,7,46,33,18,5,13,13,0,0,0,0,0,0,21,1078,1,0,1,3,8,6,2,741,518,68,4,32,19,11,1,10,14,0,0,0,0,0,0,45,3086,7,0,2,4,27,13,2,2042,1534,103,11,78,52,29,6,23,27,0,0,0,0,0,0
Sullay Kaikai, England,M,1,13,0,0,0,0,0,0,0,14,6,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,15,10,2,0,0,1,0,0,1,0,0,0,0,0,0,0,2,36,0,0,0,0,0,0,0,29,16,4,0,0,2,1,0,2,0,0,0,0,0,0,0
Theo Walcott, England,F,20,1216,2,0,3,3,19,9,12,610,326,48,0,9,28,11,7,19,7,0,0,0,0,0,0,28,1925,1,0,10,2,62,29,17,954,538,49,1,13,36,13,21,39,14,0,0,0,0,0,0,48,3141,3,0,13,5,81,38,29,1564,864,97,1,22,64,24,28,58,21,0,0,0,0,0,0
Thibaut Courtois, Belgium,GK,35,3150,2,0,0,0,0,0,0,1338,983,0,0,0,0,17,4,1,2,15,34,76,9,26,248,36,3240,1,0,0,0,0,0,0,1097,792,0,0,0,0,23,7,0,1,16,28,68,18,38,224,71,6390,3,0,0,0,0,0,0,2435,1775,0,0,0,0,40,11,1,3,31,62,144,27,64,472
Timothy Fosu-Mensah, Netherlands,D,21,1594,2,0,0,0,8,0,0,992,612,17,9,31,42,66,19,22,18,0,0,0,0,0,0,4,96,0,0,0,0,1,0,0,60,41,0,0,2,5,4,1,3,3,0,0,0,0,0,0,25,1690,2,0,0,0,9,0,0,1052,653,17,9,33,47,70,20,25,21,0,0,0,0,0,0
Toby Alderweireld, Belgium,D,14,1177,3,0,0,0,10,1,0,1059,915,7,5,4,19,50,14,29,8,0,0,0,0,0,0,30,2604,1,0,1,0,28,9,0,1875,1522,6,21,26,41,162,42,45,9,0,0,0,0,0,0,44,3781,4,0,1,0,38,10,0,2934,2437,13,26,30,60,212,56,74,17,0,0,0,0,0,0
Tom Carroll, England,M,37,2569,3,0,0,4,20,3,1,1864,1444,129,8,29,53,15,11,21,23,0,0,0,0,0,0,18,1389,1,0,1,2,9,2,0,1008,796,38,3,20,30,8,5,10,13,0,0,0,0,0,0,55,3958,4,0,1,6,29,5,1,2872,2240,167,11,49,83,23,16,31,36,0,0,0,0,0,0
Tom Cleverley, England,M,23,1905,1,1,1,2,16,3,1,1454,1137,82,1,25,48,19,24,42,33,0,0,0,0,0,0,27,1843,4,0,0,2,10,4,0,1157,857,60,6,31,42,21,4,21,23,0,0,0,0,0,0,50,3748,5,1,1,4,26,7,1,2611,1994,142,7,56,90,40,28,63,56,0,0,0,0,0,0
Tom Davies, England,M,33,1901,7,0,2,1,21,3,3,1032,691,17,5,24,30,17,19,36,38,0,0,0,0,0,0,24,1543,4,0,2,3,14,5,4,1059,783,11,5,18,36,10,10,26,25,0,0,0,0,0,0,57,3444,11,0,4,4,35,8,7,2091,1474,28,10,42,66,27,29,62,63,0,0,0,0,0,0
Tom Heaton, England,GK,4,306,0,0,0,0,0,0,0,131,94,0,0,0,0,1,1,0,0,0,4,8,1,2,32,35,3150,1,0,0,0,0,0,0,1466,1127,0,0,1,0,14,6,1,0,10,48,141,12,27,317,39,3456,1,0,0,0,0,0,0,1597,1221,0,0,1,0,15,7,1,0,10,52,149,13,29,349
Trent Alexander-Arnold, England,D,19,1575,3,0,1,1,12,5,3,1539,1007,102,5,28,37,39,5,17,12,0,0,0,0,0,0,7,165,0,0,0,0,3,2,0,137,71,6,1,3,4,11,0,1,1,0,0,0,0,0,0,26,1740,3,0,1,1,15,7,3,1676,1078,108,6,31,41,50,5,18,13,0,0,0,0,0,0
Troy Deeney, England,F,29,1841,1,1,5,2,36,15,16,761,542,7,1,5,15,20,135,186,24,0,0,0,0,0,0,37,2941,7,0,10,4,42,18,19,1229,841,16,4,14,20,50,192,268,43,0,0,0,0,0,0,66,4782,8,1,15,6,78,33,35,1990,1383,23,5,19,35,70,327,454,67,0,0,0,0,0,0
Tyrone Mings, England,D,4,202,1,0,0,0,1,0,0,143,113,1,2,6,1,13,2,2,2,0,0,0,0,0,0,7,506,0,0,0,0,1,1,0,395,303,1,5,5,10,40,14,14,7,0,0,0,0,0,0,11,708,1,0,0,0,2,1,0,538,416,2,7,11,11,53,16,16,9,0,0,0,0,0,0
Victor Moses, Nigeria,M,28,2118,3,0,3,3,35,11,9,1449,833,90,4,15,37,31,28,42,23,0,0,0,0,0,0,34,2494,4,0,3,2,45,15,3,1814,1010,120,7,41,47,48,35,57,28,0,0,0,0,0,0,62,4612,7,0,6,5,80,26,12,3263,1843,210,11,56,84,79,63,99,51,0,0,0,0,0,0
Victor Wanyama, Kenya,M,18,839,2,0,1,0,12,3,0,787,617,2,3,10,30,20,18,15,13,0,0,0,0,0,0,36,3015,10,0,4,1,40,13,0,2464,1971,14,9,40,90,69,62,61,66,0,0,0,0,0,0,54,3854,12,0,5,1,52,16,0,3251,2588,16,12,50,120,89,80,76,79,0,0,0,0,0,0
Vincent Janssen, Netherlands,F,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,27,832,0,0,2,2,30,14,8,409,225,10,0,2,15,2,3,14,31,0,0,0,0,0,0,28,833,0,0,2,2,30,14,8,409,225,10,0,2,15,2,3,15,32,0,0,0,0,0,0
Vincent Kompany, Belgium,D,17,1396,6,0,1,1,9,2,0,1579,1429,0,8,16,20,71,42,12,18,0,0,0,0,0,0,11,823,5,0,3,0,9,3,0,667,557,1,3,16,15,42,19,9,19,0,0,0,0,0,0,28,2219,11,0,4,1,18,5,0,2246,1986,1,11,32,35,113,61,21,37,0,0,0,0,0,0
Virgil van Dijk, Netherlands,D,26,2253,1,0,0,0,27,6,0,2118,1770,1,15,47,25,157,139,51,14,0,0,0,0,0,0,21,1854,3,0,1,0,17,5,0,1313,980,0,15,54,39,142,98,32,18,0,0,0,0,0,0,47,4107,4,0,1,0,44,11,0,3431,2750,1,30,101,64,299,237,83,32,0,0,0,0,0,0
Wayne Hennessey, Wales,GK,27,2430,1,0,0,0,0,0,0,937,689,0,0,2,0,15,10,0,0,7,41,91,10,31,227,29,2610,1,0,0,0,0,0,0,1062,809,0,0,0,0,15,6,0,0,7,46,84,7,50,267,56,5040,2,0,0,0,0,0,0,1999,1498,0,0,2,0,30,16,0,0,14,87,175,17,81,494
Wayne Rooney, England,F,31,2282,5,0,10,2,45,17,8,1566,1162,62,6,16,28,36,25,34,35,0,0,0,0,0,0,25,1539,8,0,5,5,52,19,7,1132,779,97,3,17,21,10,12,36,23,0,0,0,0,0,0,56,3821,13,0,15,7,97,36,15,2698,1941,159,9,33,49,46,37,70,58,0,0,0,0,0,0
Wayne Routledge, England,M,15,423,1,0,0,0,5,2,0,243,160,15,0,2,10,4,5,9,9,0,0,0,0,0,0,27,1927,1,0,3,1,19,9,9,948,561,82,0,15,22,19,12,43,28,0,0,0,0,0,0,42,2350,2,0,3,1,24,11,9,1191,721,97,0,17,32,23,17,52,37,0,0,0,0,0,0
Wes Morgan, Jamaica,D,32,2818,4,0,0,0,13,3,1,1259,913,0,27,31,35,143,93,58,31,0,0,0,0,0,0,27,2430,3,0,1,0,14,3,1,979,653,0,25,52,27,141,65,45,20,0,0,0,0,0,0,59,5248,7,0,1,0,27,6,2,2238,1566,0,52,83,62,284,158,103,51,0,0,0,0,0,0
Wilfred Ndidi, Nigeria,M,33,2899,6,2,0,3,41,6,1,2312,1684,9,10,50,138,95,117,75,60,0,0,0,0,0,0,17,1522,0,0,2,1,31,6,1,998,689,3,5,36,68,55,59,77,27,0,0,0,0,0,0,50,4421,6,2,2,4,72,12,2,3310,2373,12,15,86,206,150,176,152,87,0,0,0,0,0,0
Wilfried Bony, Cote D'Ivoire,F,15,704,2,0,2,0,20,7,2,329,208,0,1,2,5,15,44,59,7,0,0,0,0,0,0,10,690,1,0,2,0,21,5,2,339,212,1,1,3,5,10,24,34,11,0,0,0,0,0,0,25,1394,3,0,4,0,41,12,4,668,420,1,2,5,10,25,68,93,18,0,0,0,0,0,0
Wilfried Zaha, Cote D'Ivoire,F,29,2551,5,0,9,3,64,26,19,1427,623,76,0,7,30,1,4,15,45,0,0,0,0,0,0,35,3025,8,0,7,9,49,18,6,1731,696,105,0,34,76,11,13,24,55,0,0,0,0,0,0,64,5576,13,0,16,12,113,44,25,3158,1319,181,0,41,106,12,17,39,100,0,0,0,0,0,0
Willian, Brazil,F,36,1883,1,0,6,7,54,25,5,1416,924,99,1,10,22,9,10,15,10,0,0,0,0,0,0,34,1529,3,0,8,2,44,15,2,1172,777,106,0,7,19,5,1,11,12,0,0,0,0,0,0,70,3412,4,0,14,9,98,40,7,2588,1701,205,1,17,41,14,11,26,22,0,0,0,0,0,0
Willy Caballero, Argentina,GK,3,270,0,0,0,0,0,0,0,114,88,0,0,0,0,5,2,0,0,1,4,7,2,1,15,17,1451,0,0,0,0,0,0,0,532,391,0,0,0,1,15,5,0,0,6,13,31,8,11,79,20,1721,0,0,0,0,0,0,0,646,479,0,0,0,1,20,7,0,0,7,17,38,10,12,94
Winston Reid, New Zealand,D,17,1454,5,0,0,0,5,0,0,874,659,1,14,22,11,101,44,25,14,0,0,0,0,0,0,30,2589,8,0,2,2,11,2,1,1502,983,3,23,82,32,244,55,38,31,0,0,0,0,0,0,47,4043,13,0,2,2,16,2,1,2376,1642,4,37,104,43,345,99,63,45,0,0,0,0,0,0
Xherdan Shaqiri, Switzerland,F,36,3049,5,0,8,7,69,32,15,1735,1055,201,1,16,25,4,5,20,28,0,0,0,0,0,0,21,1707,2,0,4,2,48,10,4,1052,609,131,0,9,11,2,2,5,16,0,0,0,0,0,0,57,4756,7,0,12,9,117,42,19,2787,1664,332,1,25,36,6,7,25,44,0,0,0,0,0,0
Yannick Bolasie, The Democratic Republic Of Congo,F,16,854,0,0,1,0,19,7,4,440,210,53,0,4,8,7,12,10,12,0,0,0,0,0,0,14,1052,3,0,1,4,27,6,3,606,291,84,2,3,18,8,17,19,24,0,0,0,0,0,0,30,1906,3,0,2,4,46,13,7,1046,501,137,2,7,26,15,29,29,36,0,0,0,0,0,0
Yaya Toure, Cote D'Ivoire,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1947,4,0,5,0,32,15,0,2074,1798,4,4,16,42,39,40,28,26,0,0,0,0,0,0,25,1947,4,0,5,0,32,15,0,2074,1798,4,4,16,42,39,40,28,26,0,0,0,0,0,0
Yohan Benalouane, Tunisia,D,1,90,0,0,0,0,2,1,1,57,27,3,1,1,7,4,2,2,1,0,0,0,0,0,0,11,920,4,0,0,0,4,1,0,314,188,0,5,26,17,56,18,23,15,0,0,0,0,0,0,12,1010,4,0,0,0,6,2,1,371,215,3,6,27,24,60,20,25,16,0,0,0,0,0,0
Yohan Cabaye, France,M,31,2386,7,0,0,1,38,12,1,1856,1293,136,4,79,70,28,6,14,35,0,0,0,0,0,0,32,2132,7,0,4,3,40,11,2,1465,984,109,5,72,60,21,8,12,31,0,0,0,0,0,0,63,4518,14,0,4,4,78,23,3,3321,2277,245,9,151,130,49,14,26,66,0,0,0,0,0,0
Younes Kaboul, France,D,2,151,0,0,0,0,0,0,0,102,76,0,2,2,3,15,8,3,1,0,0,0,0,0,0,23,1915,2,0,2,0,12,4,0,1080,701,13,15,47,37,136,65,35,19,0,0,0,0,0,0,25,2066,2,0,2,0,12,4,0,1182,777,13,17,49,40,151,73,38,20,0,0,0,0,0,0
Zlatan Ibrahimovic, Sweden,F,5,102,0,0,0,0,4,1,2,94,76,2,0,0,2,1,5,2,1,0,0,0,0,0,0,28,2437,7,0,17,5,115,46,37,1413,1041,18,1,10,10,22,83,84,54,0,0,0,0,0,0,33,2539,7,0,17,5,119,47,39,1507,1117,20,1,10,12,23,88,86,55,0,0,0,0,0,0
